,County,Population
1,Los Angeles,"10,014,009"
2,San Diego,"3,298,634"
3,Orange ,"3,186,989"
4,Riverside,"2,418,185"
5,San Bernardino,"2,181,654"
6,Santa Clara,"1,936,259"
7,Alameda,"1,682,353"
8,Sacramento ,"1,585,055"
9,Contra Costa   ,"1,165,927"
10,Fresno  ,"1,008,654"
11,Kern   ,"909,235"
12,San Francisco   ,"873,965"
13,Ventura   ,"843,843"
14,San Joaquin   ,"779,233"
15,San Mateo   ,"764,442"
16,Stanislaus   ,"552,878"
17,Sonoma   ,"488,863"
18,Tulare   ,"473,117"
19,Solano   ,"453,491"
20,Santa Barbara   ,"448,229"
21,Monterey   ,"439,035"
22,Placer   ,"404,739"
23,San Luis Obispo   ,"282,424"
24,Merced   ,"281,202"
25,Santa Cruz   ,"270,861"
26,Marin   ,"262,321"
27,Yolo   ,"216,403"
28,Butte   ,"211,632"
29,El Dorado   ,"191,185"
30,Shasta   ,"182,155"
31,Imperial   ,"179,702"
32,Madera   ,"156,255"
33,Kings   ,"152,486"
34,Napa   ,"138,019"
35,Humboldt   ,"136,463"
36,Nevada   ,"102,241"
37,Sutter   ,"99,633"
38,Mendocino   ,"91,601"
39,Yuba   ,"81,575"
40,Lake   ,"68,163"
41,Tehama   ,"65,829"
42,San Benito   ,"64,209"
43,Tuolumne   ,"55,620"
44,Calaveras   ,"45,292"
45,Siskiyou   ,"44,076"
46,Amador   ,"40,474"
47,Lassen   ,"32,730"
48,Glenn   ,"28,917"
49,Del Norte   ,"27,743"
50,Colusa   ,"21,839"
51,Plumas   ,"19,790"
52,Inyo   ,"19,016"
53,Mariposa   ,"17,131"
54,Trinity   ,"16,112"
55,Mono,"13,195"
56,Modoc,"8,700"
57,Sierra,"3,236"
58,Alpine,"1,204"